rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
3;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 1.wav;1
6;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 16.wav;2
4;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 9.wav;3
3;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 3.wav;4
2;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 10.wav;5
4;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 4.wav;6
1;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 8.wav;7
6;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 14.wav;8
4;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 22.wav;9
6;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 17.wav;10
5;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 7.wav;11
6;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 18.wav;12
6;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 6.wav;13
5;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 19.wav;14
5;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 13.wav;15
5;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 11.wav;16
6;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 23.wav;17
6;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 20.wav;18
4;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 15.wav;19
3;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 5.wav;20
4;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 21.wav;21
5;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 24.wav;22
3;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 2.wav;23
2;2;Male;22;No;05;sad;22;9;ExperimentStims/Stim 12.wav;24
