rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 9.wav;1
4;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 5.wav;2
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 1.wav;3
6;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 7.wav;4
6;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 15.wav;5
3;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 22.wav;6
4;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 14.wav;7
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 19.wav;8
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 10.wav;9
6;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 18.wav;10
3;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 3.wav;11
2;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 21.wav;12
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 16.wav;13
2;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 23.wav;14
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 6.wav;15
1;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 8.wav;16
1;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 24.wav;17
4;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 12.wav;18
3;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 13.wav;19
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 2.wav;20
6;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 17.wav;21
4;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 20.wav;22
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 4.wav;23
5;5;Male;29;No;2;sad;22;5;ExperimentStims\Stim 11.wav;24
